text,label
UMKM Indonesia berhasil tembus pasar ekspor Eropa dengan produk kerajinan,positif
Kementerian UMKM luncurkan program pembiayaan baru untuk pelaku usaha mikro,positif
Maman Abdurrahman dorong digitalisasi UMKM nasional secara menyeluruh,positif
Pelaku UMKM raih penghargaan inovasi terbaik tingkat ASEAN,positif
Omzet UMKM kuliner naik dua kali lipat berkat platform digital,positif
UMKM batik tulis sukses ekspor ke Jepang dan Korea Selatan,positif
Helvi Moraza optimis pertumbuhan UMKM lampaui target tahun ini,positif
Program kemitraan UMKM dengan BUMN bantu tingkatkan produksi,positif
UMKM fashion lokal tumbuh pesat di kalangan generasi muda,positif
Kementerian UMKM berhasil fasilitasi sertifikasi halal gratis untuk ribuan pelaku usaha,positif
Inovasi produk UMKM Indonesia mendapat pengakuan internasional,positif
Pelaku UMKM raih laba meningkat tajam berkat ekspansi digital,positif
Kolaborasi UMKM dengan marketplace dorong peningkatan penjualan,positif
Program pendampingan UMKM hasilkan ribuan wirausaha baru yang berhasil,positif
UMKM kopi Indonesia juara kompetisi kopi dunia di Italia,positif
Bantuan modal kerja UMKM dorong pemulihan ekonomi nasional,positif
Pelatihan ekspor UMKM perkuat daya saing produk Indonesia,positif
Maman Abdurrahman luncurkan aplikasi pendukung UMKM yang inovatif,positif
Kementerian UMKM beri penghargaan pelaku usaha berprestasi nasional,positif
Pengembangan UMKM hijau dorong ekonomi berkelanjutan,positif
Pelaku UMKM perempuan tunjukkan prestasi gemilang di pasar global,positif
Kerja sama UMKM dengan e-commerce tingkatkan omzet hingga 200 persen,positif
Program kredit usaha rakyat bantu UMKM berkembang pesat,positif
UMKM olahan pangan capai standar ekspor Eropa,positif
Sukses cerita pelaku UMKM dari kampung jadi inspirasi nasional,positif
Maman Abdurrahman dukung penuh transformasi digital UMKM,positif
Pemerintah perkuat ekosistem UMKM lewat peluang pendanaan baru,positif
UMKM kreatif Indonesia jadi unggul di kompetisi internasional,positif
Pelaku UMKM dapat manfaat besar dari program pelatihan ekspor,positif
Pertumbuhan UMKM digital melaju pesat tahun ini,positif
Kementerian UMKM dorong inovasi produk lokal berdaya saing global,positif
Helvi Moraza apresiasi capaian UMKM yang berhasil ekspor,positif
Program inkubasi UMKM hasilkan startup kuliner sukses,positif
UMKM mebel Jepara raih kontrak ekspor bernilai miliaran rupiah,positif
Pelaku UMKM optimis menghadapi tahun ini dengan target ekspor naik,positif
Kementerian UMKM bantu pemasaran produk lokal lewat pameran internasional,positif
Inovasi kemasan produk UMKM tingkatkan daya tarik di pasar global,positif
UMKM perikanan capai produktivitas tertinggi dalam lima tahun,positif
Program pendanaan UMKM perkuat sektor kuliner Indonesia,positif
Penghargaan pelaku UMKM berprestasi dorong semangat wirausaha muda,positif
Maman Abdurrahman luncurkan program kolaborasi UMKM dengan perguruan tinggi,positif
UMKM batik kembangkan motif baru yang diminati pasar Eropa,positif
Pertumbuhan UMKM ekspor meningkat signifikan berkat dukungan pemerintah,positif
Pelaku UMKM produktif memanfaatkan platform digital untuk pemasaran,positif
Kementerian UMKM dorong sertifikasi produk lokal masuki pasar internasional,positif
UMKM olahan kopi raih juara kompetisi specialty coffee dunia,positif
Helvi Moraza dukung kemajuan UMKM lewat kebijakan pro pelaku usaha,positif
Program pendampingan UMKM hasilkan peningkatan omzet hingga tiga kali lipat,positif
Kolaborasi UMKM dengan investor asing buka peluang ekspansi,positif
Inovasi UMKM jadi solusi bagi tantangan ekonomi pasca pandemi,positif
UMKM terdampak kenaikan harga bahan baku dan minyak goreng,negatif
Banyak UMKM gulung tikar akibat persaingan ketat dari produk impor,negatif
Krisis ekonomi tekan pendapatan pelaku UMKM hingga merosot tajam,negatif
Pelaku UMKM mengeluh sulit dapat pinjaman modal dari bank,negatif
UMKM kuliner bangkrut karena pandemi yang berkepanjangan,negatif
Omzet UMKM turun drastis akibat daya beli masyarakat melemah,negatif
Pelaku UMKM keluhkan tingginya biaya logistik yang menghambat ekspor,negatif
UMKM fashion lesu karena banjirnya produk impor murah,negatif
Persaingan ketat dengan produk impor buat UMKM kehilangan pasar,negatif
Pelaku UMKM gagal bertahan dari ancaman resesi ekonomi global,negatif
Pelaku UMKM kesulitan akses bahan baku karena gangguan pasokan,negatif
UMKM terhambat regulasi yang dianggap menyulitkan,negatif
Penurunan omzet UMKM jadi masalah serius pemulihan ekonomi,negatif
Pelaku UMKM rugi besar akibat penipuan online,negatif
Kementerian UMKM hadapi tantangan berat menanggulangi dampak inflasi,negatif
Banyak UMKM gulung tikar karena gagal beradaptasi dengan teknologi,negatif
Pelaku UMKM kehilangan pelanggan akibat naiknya harga jual,negatif
UMKM mikro kesulitan saingi pelaku usaha besar di pasar online,negatif
Krisis bahan baku ancam kelangsungan UMKM kerajinan rotan,negatif
Pendapatan UMKM merosot karena lemahnya daya beli masyarakat,negatif
Pelaku UMKM mengeluh sulit mendapatkan tenaga kerja terampil,negatif
UMKM olahan pangan terkendala izin edar dari BPOM,negatif
Kerugian UMKM membengkak akibat banjir di sentra produksi,negatif
Pelaku UMKM keluhkan mahalnya biaya sertifikasi produk,negatif
UMKM digital terdampak kebijakan pajak baru,negatif
Krisis pendanaan jadi masalah besar bagi UMKM yang ingin ekspansi,negatif
Banyak pelaku UMKM bangkrut sebelum sempat berkembang,negatif
UMKM kerajinan kalah saing dengan produk pabrikan murah dari luar,negatif
Pelaku UMKM kuliner terpuruk akibat kenaikan harga LPG,negatif
Krisis pasokan bahan baku impor lumpuhkan produksi UMKM tekstil,negatif
UMKM ekspor turun karena ketatnya regulasi negara tujuan,negatif
Pelaku UMKM mengeluhkan susahnya akses pembiayaan formal,negatif
Daya saing UMKM lemah dibanding produk negara tetangga,negatif
Pelaku UMKM gagal memenuhi standar ekspor pasar Eropa,negatif
Banyak UMKM mati suri karena tidak mampu transformasi digital,negatif
Permintaan produk UMKM merosot menjelang akhir tahun,negatif
Pelaku UMKM keluhkan biaya iklan online yang semakin mahal,negatif
UMKM kerajinan terhambat akses ekspor karena masalah birokrasi,negatif
Resesi global ancam kelangsungan UMKM berorientasi ekspor,negatif
Pelaku UMKM rugi akibat scam pembayaran digital,negatif
Kenaikan harga bahan baku jadi tantangan terbesar UMKM tahun ini,negatif
UMKM kuliner kehilangan pelanggan karena pelayanan buruk,negatif
Pelaku UMKM kesulitan bertahan di tengah inflasi tinggi,negatif
Banyak UMKM batal ekspor karena masalah sertifikasi,negatif
UMKM tekstil rugi besar akibat persaingan tidak sehat,negatif
Pelaku UMKM keluhkan minimnya pendampingan dari pemerintah,negatif
UMKM olahan ikan terkendala kelangkaan pasokan,negatif
Krisis ekonomi buat UMKM susah dapatkan modal kerja,negatif
Pelaku UMKM keluhkan rumitnya proses perizinan usaha,negatif
Pertumbuhan UMKM lesu akibat lemahnya konsumsi rumah tangga,negatif
Banyak UMKM kolaps karena tidak mampu bayar utang bank,negatif
Kementerian UMKM gelar rapat koordinasi dengan pengusaha daerah,netral
Wakil Menteri UMKM Helvi Moraza hadiri pelantikan pejabat baru,netral
Survei BPS catat jumlah UMKM mencapai 65 juta unit usaha,netral
Maman Abdurrahman terima kunjungan delegasi asing di kantor kementerian,netral
Kementerian UMKM siapkan agenda kunjungan ke daerah,netral
Helvi Moraza pimpin rapat dengar pendapat dengan komisi DPR,netral
Maman Abdurrahman bertemu dengan asosiasi pelaku UMKM nasional,netral
Kementerian UMKM rilis data terbaru jumlah pelaku usaha mikro,netral
Wakil Menteri UMKM hadiri seminar nasional kewirausahaan,netral
Maman Abdurrahman pimpin upacara hari kemerdekaan di kantor kementerian,netral
Kementerian UMKM sosialisasikan program kerja tahun ini,netral
Helvi Moraza terima audiensi himpunan pengusaha muda Indonesia,netral
Kementerian UMKM tetapkan jadwal pelatihan untuk pelaku usaha,netral
Maman Abdurrahman membuka acara pameran produk UMKM nasional,netral
Wakil Menteri UMKM kunjungi sentra produksi kerajinan tangan,netral
Kementerian UMKM jalin kerja sama dengan kementerian terkait,netral
Helvi Moraza hadiri pertemuan dengan duta besar negara sahabat,netral
Maman Abdurrahman tinjau lokasi pelatihan kewirausahaan di daerah,netral
Kementerian UMKM jadwalkan pertemuan rutin dengan stakeholder,netral
Wakil Menteri UMKM beri sambutan di acara pelantikan pengurus asosiasi,netral
Kementerian UMKM siapkan rencana strategis lima tahun ke depan,netral
Maman Abdurrahman menerima rombongan investor di kantor pusat,netral
Helvi Moraza beri arahan kepada jajaran pejabat eselon kementerian,netral
Kementerian UMKM gelar diskusi panel tentang ekonomi kreatif,netral
Maman Abdurrahman bertemu dengan gubernur untuk koordinasi program,netral
Wakil Menteri UMKM hadiri rapat kabinet di istana,netral
Kementerian UMKM tetapkan kebijakan baru terkait sertifikasi produk,netral
Helvi Moraza terima kunjungan delegasi negara tetangga,netral
Maman Abdurrahman pimpin rapat pleno bersama jajaran kementerian,netral
Kementerian UMKM rilis pedoman teknis pelaksanaan program,netral
Wakil Menteri UMKM beri pengarahan ke kepala daerah,netral
Maman Abdurrahman tinjau kesiapan pelaksanaan ekspo produk lokal,netral
Kementerian UMKM bahas anggaran tahunan bersama komisi DPR,netral
Helvi Moraza hadiri konferensi kewirausahaan tingkat ASEAN,netral
Maman Abdurrahman pimpin diskusi terkait roadmap UMKM,netral
Kementerian UMKM susun laporan kinerja semester pertama,netral
Wakil Menteri UMKM hadiri acara peluncuran buku tentang ekonomi,netral
Kementerian UMKM koordinasi lintas sektor untuk persiapan pameran,netral
Maman Abdurrahman beri keterangan pers terkait isu terkini,netral
Helvi Moraza pimpin tim teknis pengembangan kebijakan UMKM,netral
Kementerian UMKM agendakan kunjungan kerja ke berbagai daerah,netral
Wakil Menteri UMKM beri pengarahan pelaksanaan program nasional,netral
Maman Abdurrahman menerima laporan dari deputi UMKM,netral
Kementerian UMKM siapkan program kerja prioritas tahun ini,netral
Helvi Moraza tinjau lokasi pelatihan vokasi pengusaha muda,netral
Maman Abdurrahman bertemu pejabat kementerian perdagangan,netral
Kementerian UMKM rilis surat edaran kepada pelaku usaha,netral
Wakil Menteri UMKM beri sambutan di forum nasional pelaku UMKM,netral
Kementerian UMKM agendakan rapat dengan asosiasi industri,netral
Helvi Moraza menerima audiensi mahasiswa tentang program kewirausahaan,netral
Maman Abdurrahman dorong inovasi pelaku usaha mikro,positif
UMKM Indonesia tampil di pameran produk lokal di Jepang,netral
Pelaku UMKM laporkan keluhan terkait perizinan ke kementerian,negatif
Kementerian UMKM perpanjang masa pendaftaran program pelatihan,netral
Pelaku UMKM raih medali emas di kompetisi inovasi produk,positif
UMKM kerajinan kayu kehilangan pasar ekspor karena harga naik,negatif
Maman Abdurrahman buka rapat tahunan kementerian,netral
Pelaku UMKM kuliner berhasil ekspor produk ke Australia,positif
Banyak UMKM laporkan kerugian akibat banjir besar,negatif
Kementerian UMKM jadwalkan pertemuan dengan asosiasi nasional,netral
UMKM digital tumbuh pesat berkat dukungan teknologi terkini,positif
Pelaku UMKM mengeluhkan sulitnya bersaing dengan brand asing,negatif
Helvi Moraza beri sambutan pembukaan rapat koordinasi nasional,netral
UMKM batik tradisional sukses ikuti pameran fashion week internasional,positif
Krisis bahan baku tekstil hambat produksi UMKM,negatif
Kementerian UMKM susun jadwal kunjungan kerja ke pulau terdepan,netral
Inovasi produk UMKM membuahkan hasil yang membanggakan,positif
Pelaku UMKM keluhkan tingginya pajak yang harus dibayar,negatif
Maman Abdurrahman pimpin rapat evaluasi program tahunan,netral
UMKM elektronik mampu bersaing dengan produk impor,positif
Pelaku UMKM bahan pangan rugi akibat harga turun drastis,negatif
Kementerian UMKM rilis data triwulanan jumlah pelaku usaha,netral
Pelaku UMKM perak Bali raih order dari pasar Eropa,positif
UMKM kuliner kesulitan dapat sertifikasi halal tepat waktu,negatif
Wakil Menteri UMKM kunjungi pabrik produksi UMKM di Surabaya,netral
Pertumbuhan UMKM kreatif terus meningkat tiap tahun,positif
Pelaku UMKM mengeluh sulit dapatkan akses pasar ekspor,negatif
Kementerian UMKM dan kementerian luar negeri lakukan rapat lintas instansi,netral
UMKM olahan susu raih sertifikasi internasional,positif
Banyak UMKM minim modal akhirnya bangkrut tahun ini,negatif
Helvi Moraza hadiri ulang tahun asosiasi pelaku UMKM,netral
Pelaku UMKM dapatkan dukungan dana hibah dari pemerintah,positif
Pelaku UMKM keluhkan susahnya cari distributor untuk produk baru,negatif
Maman Abdurrahman menerima kunjungan menteri dari negara sahabat,netral
UMKM kerajinan kulit raih penghargaan tingkat nasional,positif
Pelaku UMKM rugi akibat penipuan dalam transaksi ekspor,negatif
Kementerian UMKM siapkan laporan tahunan ke presiden,netral
UMKM elektronik berkembang pesat berkat ekosistem digital,positif
Permintaan produk UMKM lokal turun karena daya beli rendah,negatif
Wakil Menteri UMKM pimpin rapat persiapan agenda nasional,netral
UMKM kopi Toraja raih juara di kompetisi specialty coffee,positif
Pelaku UMKM keluhkan sulitnya akses pendampingan dari pemerintah,negatif
Kementerian UMKM rilis pedoman pelaksanaan program subsidi,netral
Inovasi pemasaran digital dorong UMKM raih pasar baru,positif
Banyak UMKM tutup karena gagal beradaptasi dengan tren konsumen,negatif
Helvi Moraza pimpin rapat persiapan ekspo nasional,netral
UMKM mebel Jepara berhasil ekspor ke Amerika Serikat,positif
Pelaku UMKM olahan pangan keluhkan ketatnya regulasi izin edar,negatif
Maman Abdurrahman menerima delegasi UMKM dari berbagai daerah,netral
UMKM digital makin produktif berkat platform e-commerce nasional,positif
